price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
10250000.0,12.0,128,6.73,LTPO AMOLED,120.0,50,3,Xiaomi,High,FHD,Snapdragon 8 gen 2
25990000.0,8.0,256,6.7,Dynamic AMOLED 2X,120.0,12,2,Samsung,Premium,HD,Snapdragon 8 gen 1
24850000.0,6.0,1024,6.1,LTPO Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
13550000.0,16.0,1024,6.78,LTPO AMOLED,120.0,64,3,Vivo,High,HD,Dimensity 9300
4750000.0,12.0,256,6.67,AMOLED,120.0,64,3,Xiaomi,Medium,HD,Snapdragon 865
5950000.0,16.0,512,6.78,AMOLED,144.0,50,2,Vivo,Medium,HD,Snapdragon 8 gen 1
6250000.0,16.0,512,6.74,AMOLED,120.0,50,2,OnePlus,Medium,HD,Snapdragon 7 gen 3
8850000.0,16.0,1024,6.67,OLED,144.0,50,3,Xiaomi,High,HD,Dimensity 9400 plus
11450000.0,16.0,512,6.78,LTPO AMOLED,120.0,50,2,Realme,High,HD,Snapdragon 8 e
9950000.0,12.0,512,6.78,AMOLED,120.0,50,2,Vivo,High,HD,Dimensity 8050
2890000.0,4.0,128,6.56,LCD,60.0,13,4,Vivo,Low,HD,Helio G85
3150000.0,8.0,256,6.75,IPS LCD,90.0,50,1,Realme,Medium,HD,Tiger t612 8
3250000.0,6.0,128,6.56,IPS LCD,90.0,50,2,Vivo,Medium,HD,Dimensity 6300
11050000.0,12.0,512,6.78,OLED,120.0,200,3,Honor,High,HD,Snapdragon 8 gen 1
6850000.0,8.0,256,6.55,AMOLED,90.0,64,3,Xiaomi,Medium,HD,Snapdragon 778g
27550000.0,16.0,1024,6.8,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G4
3650000.0,6.0,128,6.5,"IPS LCD, 90Hz, 600 nits",90.0,48,3,Realme,Medium,HD,Dimensity 700
6450000.0,8.0,128,6.6,IPS LCD,120.0,64,3,Realme,Medium,HD,Snapdragon 695
7320000.0,8.0,256,6.62,AMOLED,120.0,64,3,Vivo,Medium,HD,Helio G99
2550000.0,4.0,128,6.88,IPS LCD,120.0,50,1,Xiaomi,Low,HD,Snapdragon 4
2150000.0,6.0,128,6.53,IPS LCD,60.0,13,1,Xiaomi,Low,HD,Helio G25
10950000.0,12.0,256,6.7,OLED,144.0,50,3,Motorola,High,HD,Snapdragon 8 gen1
4250000.0,6.0,128,6.74,IPS LCD,90.0,50,1,Realme,Medium,HD,Tiger t612 8
10150000.0,8.0,128,6.1,OLED,60.0,48,3,Sony,High,HD,Snapdragon 6 gen 1
9050000.0,12.0,512,6.7,OLED,144.0,50,3,Motorola,High,HD,Snapdragon 7 gen 3
8490000.0,8.0,256,6.7,AMOLED,120.0,64,3,OPPO,High,HD,Dimensity 7050
5250000.0,8.0,256,6.56,IPS LCD,90.0,50,2,Vivo,Medium,HD,Dimensity 6300
2220000.0,4.0,128,6.5,PLS LCD,60.0,13,2,Samsung,Low,HD,Helio p35
12690000.0,8.0,256,6.1,OLED,120.0,64,2,Google,High,HD,Tensor G3
6950000.0,12.0,256,6.78,AMOLED,120.0,64,2,Vivo,Medium,HD,Dimensity 7200
