price_category,price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,screen_resolution_k,chip_model
Medium,4450000.0,6.0,128,5.7,Super AMOLED,60.0,12,1,Meizu,FHD,Helio x30
High,12250000.0,8.0,256,6.6,P-OLED,144.0,50,2,Motorola,HD,Dimensity 7030
High,12950000.0,12.0,256,6.7,OLED,144.0,50,3,Motorola,HD,Snapdragon 8 gen 1
High,10350000.0,12.0,256,6.55,P-OLED,144.0,50,2,Motorola,HD,Dimensity 7030
High,9050000.0,12.0,512,6.7,OLED,144.0,50,3,Motorola,HD,Snapdragon 7 gen 3
Premium,16860000.0,8.0,512,6.67,OLED,165.0,50,3,Motorola,HD,Snapdragon 8 gen 2
High,10950000.0,12.0,256,6.7,OLED,144.0,50,3,Motorola,HD,Snapdragon 8 gen1
Medium,3790000.0,4.0,128,6.5,IPS LCD,60.0,50,2,Motorola,HD,Tiger t616 8
Medium,3950000.0,8.0,128,6.5,IPS LCD,120.0,50,2,Motorola,HD,Dimensity 7020
Medium,5850000.0,12.0,256,6.5,P-OLED,120.0,50,2,Motorola,HD,Snapdragon 695
Medium,4820000.0,4.0,128,6.5,IPS LCD,120.0,48,2,Motorola,HD,Snapdragon 480
Medium,7250000.0,6.0,256,6.6,LTPS LCD,120.0,50,2,Motorola,HD,Snapdragon 6 gen 1
High,12450000.0,12.0,128,6.7,OLED,165.0,50,3,Motorola,HD,Snapdragon 8 gen 2
High,13250000.0,12.0,256,6.9,Foldable LTPO AMOLED,144.0,64,2,Motorola,HD,Snapdragon 7 gen 1
Premium,18850000.0,12.0,512,6.9,Foldable LTPO AMOLED | AMOLED,165.0,13,2,Motorola,HD,Snapdragon 8 gen 1
