price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model,chip_model_encoded,brand_encoded,screen_tech_encoded,screen_resolution_k_encoded
7290000.0,8.0,256,6.67,AMOLED,60.0,108,3,Xiaomi,Medium,HD,Dimensity 7025 ultra,9317114.562162567,7676774.994967286,8734039.109685032,8546529.176983478
9690000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,High,HD,Snapdragon 7,8709694.400630914,7896395.317947867,8684478.137766974,8622095.701029267
4590000.0,6.0,128,6.67,AMOLED,120.0,108,3,Xiaomi,Medium,HD,Helio G99ULTRA,9523191.855463149,7324119.743057486,8652998.667789413,8478074.60955868
2190000.0,4.0,128,6.75,IPS LCD,60.0,13,1,ZTE,Low,HD,A1 Bionic,9861511.041009463,8913004.416403785,4344292.7188585885,8622095.701029267
1990000.0,4.0,64,6.75,IPS LCD,60.0,13,1,ZTE,Low,HD,A1 Bionic,9861511.041009463,8913004.416403785,4344292.7188585885,8622095.701029267
2290000.0,6.0,128,6.67,IPS LCD,60.0,48,3,ZTE,Low,HD,Unisoc t618,9861511.041009463,8913004.416403785,4344292.7188585885,8622095.701029267
2650000.0,6.0,128,5.81,OLED,60.0,12,1,Google,Low,HD,Snapdragon 730g,9332389.795638459,14201507.119739205,10622259.972943468,8546529.176983478
3150000.0,6.0,128,6.2,OLED,60.0,16,2,Google,Medium,HD,Snapdragon 765g,8768470.031545741,15817050.473186119,11139737.242531082,8514044.54111523
4450000.0,6.0,128,6.3,P-OLED,90.0,16,2,Google,Medium,FHD,Snapdragon 855,9582921.57397457,14201507.119739205,10055544.602173151,19645905.391267832
3750000.0,6.0,128,6.34,OLED,60.0,16,2,Google,Medium,HD,Snapdragon 765g,8881208.83280757,15148814.781433078,10779507.739710953,8558835.587253692
6250000.0,6.0,128,6.1,OLED,60.0,12,2,Google,Medium,HD,Tensor 8,9737153.372389965,15817050.473186119,11139737.242531082,8514044.54111523
7250000.0,12.0,512,6.7,LTPO AMOLED,120.0,50,3,Google,Medium,FHD,Tensor 8,9689534.324770918,13131755.520504732,12339695.887984946,19532316.98830952
11950000.0,8.0,256,6.3,AMOLED,90.0,50,2,Google,High,HD,Tensor G2,11068949.431220723,14201507.119739205,8734039.109685032,8546529.176983478
10550000.0,8.0,128,6.1,OLED,90.0,64,2,Google,High,HD,Tensor G2,11641373.673644967,15148814.781433078,10779507.739710953,8558835.587253692
18990000.0,12.0,512,6.7,LTPO AMOLED,120.0,50,3,Google,Premium,FHD,Tensor G2,11257737.310008602,13497386.210004505,13067163.823985457,19578299.37784788
12690000.0,8.0,256,6.1,OLED,120.0,64,2,Google,High,HD,Tensor G3,10848646.400917694,13497386.210004505,9965924.590656452,8478074.60955868
